epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.5390920042991638,0.0020000000949949026,0.4848617613315582,0.5000100135803223,0.30463430285453796
1,0.6122869849205017,0.0017888889415189624,0.28156378865242004,0.5883399844169617,0.2826596200466156
2,0.6489089727401733,0.0015777777880430222,0.25314968824386597,0.645330011844635,0.25208234786987305
3,0.6593589782714844,0.001366666634567082,0.24452821910381317,0.6478000283241272,0.248726487159729
4,0.663815975189209,0.0011555555975064635,0.2379707545042038,0.5463799834251404,0.29353976249694824
5,0.6661919951438904,0.0009444444440305233,0.232988178730011,0.5445700287818909,0.2960425317287445
6,0.6690919995307922,0.000733333348762244,0.2279592901468277,0.6596099734306335,0.23095150291919708
7,0.6726269721984863,0.0005222221952863038,0.22313253581523895,0.6629899740219116,0.22612687945365906
8,0.6769660115242004,0.00031111110001802444,0.21812790632247925,0.6680700182914734,0.22256964445114136
9,0.6801440119743347,9.999999747378752e-05,0.2134733945131302,0.6381800174713135,0.22865435481071472
10,0.6649069786071777,0.0020000000949949026,0.2448439598083496,0.618120014667511,0.27329275012016296
11,0.668749988079071,0.0017888889415189624,0.23560351133346558,0.5172200202941895,0.3543170392513275
12,0.6709340214729309,0.0015777777880430222,0.230872243642807,0.6673600077629089,0.23112346231937408
13,0.6727070212364197,0.001366666634567082,0.226686492562294,0.657010018825531,0.2337261289358139
