epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.8426740169525146,0.0020000000949949026,0.2810377776622772,0.7764000296592712,0.21759116649627686
1,0.9119070172309875,0.0017888889415189624,0.10346128046512604,0.6581199765205383,0.24456122517585754
2,0.9171429872512817,0.0015777777880430222,0.08566708862781525,0.9003599882125854,0.09767373651266098
3,0.9187949895858765,0.001366666634567082,0.07967480272054672,0.8993300199508667,0.09409034252166748
4,0.9205800294876099,0.0011555555975064635,0.07518076151609421,0.7958999872207642,0.16512058675289154
5,0.9220629930496216,0.0009444444440305233,0.0718068778514862,0.8744699954986572,0.10624218732118607
6,0.9238259792327881,0.000733333348762244,0.06816966086626053,0.9050800204277039,0.08099018782377243
7,0.9256470203399658,0.0005222221952863038,0.06463093310594559,0.9189900159835815,0.0687982514500618
8,0.9274029731750488,0.00031111110001802444,0.06135819852352142,0.925570011138916,0.06245877966284752
9,0.9287930130958557,9.999999747378752e-05,0.05859830230474472,0.9164000153541565,0.06737712770700455
10,0.9213070273399353,0.0020000000949949026,0.07920429110527039,0.7740200161933899,0.1917867511510849
11,0.9232509732246399,0.0017888889415189624,0.07324545085430145,0.9219300150871277,0.0740804374217987
12,0.9246479868888855,0.0015777777880430222,0.07012667506933212,0.9141700267791748,0.07789453864097595
13,0.9252359867095947,0.001366666634567082,0.06792096793651581,0.9253699779510498,0.07000989466905594
